id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
01116@1942-01-01,01116,Contrevoz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,518,0
01117@1942-01-01,01117,Conzieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,146,0
01118@1942-01-01,01118,Corbonod,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1219,0
01119@1942-01-01,01119,Corcelles,1942-01-01 00:00:00,2015-12-31 23:59:59,01080@2016-01-01,,227,331
01120@1942-01-01,01120,Cordieux,1942-01-01 00:00:00,1972-12-31 23:59:59,01262@1942-01-01,,NULL,330
01121@1942-01-01,01121,Corlier,1942-01-01 00:00:00,9999-12-31 23:59:59,,,116,0
01122@1942-01-01,01122,Cormaranche-en-Bugey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,801,0
01123@1942-01-01,01123,Cormoranche-sur-Saône,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1070,0
01124@1942-01-01,01124,Cormoz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,668,0
01125@1942-01-01,01125,Corveissiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,01020@1942-01-01;01377@1942-01-01,617,0
01126@1942-01-01,01126,Coupy,1942-01-01 00:00:00,1966-03-22 23:59:59,01033@1956-10-19,,NULL,310
01127@1942-01-01,01127,Courmangoux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,507,0
01128@1942-01-01,01128,Courtes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,282,0
01129@1942-01-01,01129,Crans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,264,0
01130@1942-01-01,01130,Cras-sur-Reyssouze,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1388,0
01131@1942-01-01,01131,Craz,1942-01-01 00:00:00,1972-12-31 23:59:59,01189@1973-01-01,,NULL,310
01133@1942-01-01,01133,Cressin-Rochefort,1942-01-01 00:00:00,9999-12-31 23:59:59,,,380,0
01134@1942-01-01,01134,Crottet,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1717,0
01135@1942-01-01,01135,Crozet,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2015,0
01136@1942-01-01,01136,Cruzilles-lès-Mépillat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,831,0
01137@1942-01-01,01137,Cuisiat,1942-01-01 00:00:00,1972-11-30 23:59:59,01426@2016-01-01,,NULL,330
01138@1942-01-01,01138,Culoz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2986,0
01139@1942-01-01,01139,Curciat-Dongalon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,454,0
01140@1942-01-01,01140,Curtafond,1942-01-01 00:00:00,9999-12-31 23:59:59,,,721,0
01141@1942-01-01,01141,Cuzieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,404,0
01142@1942-01-01,01142,Dagneux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,4308,0
01143@1942-01-01,01143,Divonne-les-Bains,1942-01-01 00:00:00,9999-12-31 23:59:59,,01438@1942-01-01,8762,0
01144@1942-01-01,01144,Dommartin,1942-01-01 00:00:00,9999-12-31 23:59:59,,,882,0
01145@1942-01-01,01145,Dompierre,1942-01-01 00:00:00,1954-09-10 23:59:59,01145@1954-09-11,,NULL,100
01146@1942-01-01,01146,Dompierre-sur-Chalaronne,1942-01-01 00:00:00,9999-12-31 23:59:59,,,402,0
01147@1942-01-01,01147,Domsure,1942-01-01 00:00:00,9999-12-31 23:59:59,,,477,0
01148@1942-01-01,01148,Dortan,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1855,0
01149@1942-01-01,01149,Douvres,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1015,0
01150@1942-01-01,01150,Drom,1942-01-01 00:00:00,9999-12-31 23:59:59,,,218,0
01151@1942-01-01,01151,Druillat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1151,0
01152@1942-01-01,01152,Échallon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,765,0
01153@1942-01-01,01153,Échenevex,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1904,0
01154@1942-01-01,01154,Étrez,1942-01-01 00:00:00,9999-12-31 23:59:59,,,793,0
01155@1942-01-01,01155,Évosges,1942-01-01 00:00:00,9999-12-31 23:59:59,,,144,0
01156@1942-01-01,01156,Faramans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,772,0
01157@1942-01-01,01157,Fareins,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2199,0
01158@1942-01-01,01158,Farges,1942-01-01 00:00:00,9999-12-31 23:59:59,,,946,0
01159@1942-01-01,01159,Feillens,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3186,0
01160@1942-01-01,01160,Ferney-Voltaire,1942-01-01 00:00:00,9999-12-31 23:59:59,,,9236,0
01161@1942-01-01,01161,Fitignieu,1942-01-01 00:00:00,1973-12-31 23:59:59,01414@1942-01-01,,NULL,330
01162@1942-01-01,01162,Flaxieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,65,0
01163@1942-01-01,01163,Foissiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2005,0
01164@1942-01-01,01164,Forens,1942-01-01 00:00:00,1962-08-26 23:59:59,01104@1962-08-27,,NULL,310
01165@1942-01-01,01165,Francheleins,1942-01-01 00:00:00,1973-12-31 23:59:59,01165@1974-01-01,,1482,110
01166@1942-01-01,01166,Frans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2087,0
01167@1942-01-01,01167,Garnerans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,667,0
01169@1942-01-01,01169,Genouilleux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,591,0
01170@1942-01-01,01170,Géovreissiat,1942-01-01 00:00:00,2008-10-05 23:59:59,01170@2008-10-06,,NULL,100
01171@1942-01-01,01171,Géovreisset,1942-01-01 00:00:00,9999-12-31 23:59:59,,,928,0
01172@1942-01-01,01172,Germagnat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,149,0
01173@1942-01-01,01173,Gex,1942-01-01 00:00:00,9999-12-31 23:59:59,,,10893,0
01174@1942-01-01,01174,Giron,1942-01-01 00:00:00,9999-12-31 23:59:59,,,172,0
01175@1942-01-01,01175,Gorrevod,1942-01-01 00:00:00,9999-12-31 23:59:59,,,829,0
01176@1942-01-01,01176,Grand-Abergement,1942-01-01 00:00:00,2015-12-31 23:59:59,01187@2016-01-01,,NULL,331
01177@1942-01-01,01177,Grand-Corent,1942-01-01 00:00:00,9999-12-31 23:59:59,,,174,0
01178@1942-01-01,01178,Granges,1942-01-01 00:00:00,1972-12-31 23:59:59,01240@1973-01-01,,NULL,310
01179@1942-01-01,01179,Grièges,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1925,0
01180@1942-01-01,01180,Grilly,1942-01-01 00:00:00,9999-12-31 23:59:59,,,780,0
01181@1942-01-01,01181,Groissiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1176,0
01182@1942-01-01,01182,Groslée,1942-01-01 00:00:00,2015-12-31 23:59:59,01338@2016-01-01,,361,331
01183@1942-01-01,01183,Guéreins,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1418,0
01184@1942-01-01,01184,Hautecourt,1942-01-01 00:00:00,1972-12-31 23:59:59,01184@1973-01-01,,NULL,110
01185@1942-01-01,01185,Hauteville,1942-01-01 00:00:00,1942-07-31 23:59:59,01185@1942-08-01,,NULL,110
01186@1942-01-01,01186,Hostias,1942-01-01 00:00:00,2007-08-14 23:59:59,01186@2007-08-15,,NULL,100
01187@1942-01-01,01187,Hotonnes,1942-01-01 00:00:00,2015-12-31 23:59:59,01187@2016-01-01,,300,331
01188@1942-01-01,01188,Illiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,592,0
01189@1942-01-01,01189,Injoux,1942-01-01 00:00:00,1972-12-31 23:59:59,01189@1973-01-01,,NULL,110
01190@1942-01-01,01190,Innimond,1942-01-01 00:00:00,9999-12-31 23:59:59,,,117,0
01191@1942-01-01,01191,Izenave,1942-01-01 00:00:00,9999-12-31 23:59:59,,,170,0
01192@1942-01-01,01192,Izernore,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2312,0
01193@1942-01-01,01193,Izieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,221,0
01194@1942-01-01,01194,Jassans-Riottier,1942-01-01 00:00:00,9999-12-31 23:59:59,,,6254,0
01195@1942-01-01,01195,Jasseron,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1682,0
01196@1942-01-01,01196,Jayat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1099,0
01197@1942-01-01,01197,Journans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,345,0
01198@1942-01-01,01198,Joyeux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,263,0
01199@1942-01-01,01199,Jujurieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2172,0
01200@1942-01-01,01200,Labalme,1942-01-01 00:00:00,9999-12-31 23:59:59,,,206,0
01201@1942-01-01,01201,Lacoux,1942-01-01 00:00:00,1964-08-31 23:59:59,01185@1942-08-01,,NULL,310
01202@1942-01-01,01202,Lagnieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,01315@1942-01-01,6889,0
01203@1942-01-01,01203,Laiz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1187,0
01204@1942-01-01,01204,Lalleyriat,1942-01-01 00:00:00,2015-12-31 23:59:59,01204@2016-01-01,,261,331
01205@1942-01-01,01205,Lancrans,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1030,0
01206@1942-01-01,01206,Lantenay,1942-01-01 00:00:00,9999-12-31 23:59:59,,,261,0
01207@1942-01-01,01207,Lapeyrouse,1942-01-01 00:00:00,9999-12-31 23:59:59,,,316,0
01208@1942-01-01,01208,Lavours,1942-01-01 00:00:00,9999-12-31 23:59:59,,,144,0
01209@1942-01-01,01209,Léaz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,650,0
01210@1942-01-01,01210,Lélex,1942-01-01 00:00:00,9999-12-31 23:59:59,,,231,0
01211@1942-01-01,01211,Lent,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1413,0
01212@1942-01-01,01212,Lescheroux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,695,0
01213@1942-01-01,01213,Leyment,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1249,0
01214@1942-01-01,01214,Leyssard,1942-01-01 00:00:00,9999-12-31 23:59:59,,,149,0
01215@1942-01-01,01215,Lhôpital,1942-01-01 00:00:00,9999-12-31 23:59:59,,,50,0
01216@1942-01-01,01216,Lhuis,1942-01-01 00:00:00,9999-12-31 23:59:59,,,880,0
01217@1942-01-01,01217,Lilignod,1942-01-01 00:00:00,1972-12-31 23:59:59,01079@1956-10-19,,NULL,330
01218@1942-01-01,01218,Lochieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,95,0
