siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3276; Sussat;104;103
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3194; Naves;116;114
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3089; Coutansouze;123;121
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3192; Nades;127;124
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3077; Chirat-l'Église;133;132
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3075; Chezelle;161;158
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3278; Taxat-Senat;230;225
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3078; Chouvigny;246;239
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3277; Target;261;254
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3175; Monestier;272;268
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3152; Louroux-de-Bouble;295;290
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3311; Vicq;323;314
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3135; Lalizolle;373;361
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3108; Échassières;382;376
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3022; Bellenaves;1040;1025
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3107; Ébreuil;1286;1261
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3096; Deneuille-lès-Chantelle;101;99
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3016; Barberier;125;120
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3294; Ussel-d'Allier;154;149
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3134; Laféline;201;189
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3116; Fourilles;208;203
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3188; Montord;255;250
